protein_Organism,count
['Norwalk virus'],4
['Streptomyces sp. QL37'],4
['Sorangium cellulosum  (Polyangium cellulosum )'],4
['Emericella variicolor'],4
['Pseudonocardia thermophila'],4
['Aspergillus nidulans'],4
['Tripterygium wilfordii'],4
['Eimeria tenella'],4
['Candidatus Nitrosotalea devanaterra'],4
['Lama glama'],4
['Nisaea denitrificans DSM 18348'],4
['Streptomyces showdoensis'],4
['Enterobacter sp.'],4
['Pseudomonas sp. HMSC75E02'],4
['Lacticaseibacillus rhamnosus HN001'],4
['African swine fever virus'],4
['Phaseolus acutifolius'],4
['Bothrops jararacussu'],4
['Canavalia gladiata'],4
['Paraburkholderia xenovorans'],4
['Desulfococcus multivorans'],4
['Escherichia coli S88'],4
['Burkholderia cenocepacia PC184'],4
['Clostridium sardiniense'],4
['Rhizobium sp. MX-45'],4
['Rhodnius prolixus'],4
['Thermogutta terrifontis'],4
['Oplophorus gracilirostris'],4
['Streptomyces pristinaespiralis'],4
['Clostridium perfringens D'],4
['Doryteuthis pealeii'],4
['Shewanella benthica'],4
['Haloarcula vallismortis'],4
['Streptomyces bingchenggensis'],4
['Aspergillus oryzae'],4
['Pectobacterium atrosepticum'],4
['Streptomyces cyanogenus'],4
"['Saccharomyces cerevisiae', 'Burkholderia pseudomallei']",4
['Prochlorococcus marinus'],4
['Burkholderia lata'],4
['Thermodesulfovibrio yellowstonii'],4
['Malus domestica'],4
['Methylorubrum extorquens'],4
['Thermomonospora curvata'],4
['Trichormus variabilis'],4
['Streptomyces rubellomurinus'],4
['Marinobacter nauticus'],4
['Pseudomonas savastanoi pv. phaseolicola  (Pseudomonas syringae pv. phaseolicola )'],4
['Influenza A virus (A/RI/5+/1957)'],4
['Enterococcus casseliflavus'],4
['Neisseria mucosa'],4
['Nitratidesulfovibrio vulgaris RCH1'],4
"['Renibacterium salmoninarum', 'Archaeoglobus fulgidus']",4
"['Homo sapiens', 'Clostridium pasteurianum']",4
['Brucella ovis'],4
['Panicum virgatum'],4
['Haemonchus contortus'],4
['Natrinema thermotolerans'],4
['Ectocarpus siliculosus'],4
['Cryphonectria parasitica'],4
['Zaire ebolavirus'],4
['Coccidioides immitis'],4
['Alcanivorax borkumensis'],4
['Micromonospora chersina'],4
['Mouse mammary tumor virus'],4
['Alternaria alternata'],3
['Lactobacillus johnsonii'],3
['Rhodococcus rhodochrous'],3
['Coxsackievirus A9'],3
['Alkalihalophilus pseudofirmus'],3
['Mycetohabitans rhizoxinica'],3
['Streptomyces xiamenensis'],3
['Pygoscelis papua'],3
['Burkholderia vietnamiensis'],3
['Feline coronavirus'],3
['Pectobacterium carotovorum subsp. carotovorum'],3
['Neotermes koshunensis'],3
['Rift valley fever virus'],3
['Salmonella paratyphi A'],3
['Reovirus type 1'],3
['Paraglaciecola sp. T6c'],3
['Limnothrix sp. CACIAM 69d'],3
['Tsukamurella paurometabola'],3
['Ignavibacterium album'],3
['Canavalia rosea'],3
['Thermocrispum municipale'],3
['Marinomonas primoryensis'],3
['Lactobacillus gasseri'],3
['Musca domestica'],3
['Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai'],3
['Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393'],3
['Glycyrrhiza glabra'],3
['Streptomyces griseolus'],3
['Scytonema sp. PCC 10023'],3
['Tabanus yao'],3
['Coxsackievirus B5'],3
['uncultured Desulfobacterium sp'],3
['Streptomyces griseus'],3
['Scytalidium lignicola'],3
['Dysgonomonas mossii DSM 22836'],3
['Spondweni virus'],3
['Akkermansia muciniphila'],3
['Streptomyces collinus'],3
['Poliovirus type 2'],3
['Enterovirus F'],3
['Influenza A virus (A/California/07/2009)'],3
['Phaseolus vulgaris'],3
['Lyngbya majuscula'],3
['Streptomyces atroolivaceus'],3
['Linum usitatissimum'],3
"['Photorhabdus laumondii subsp. laumondii', 'Enterobacteria phage T4']",3
['Ideonella sakaiensis'],3
"['Pseudomonas phage phiKZ', 'Enterobacteria phage T4']",3
['Flavonifractor plautii ATCC 29863'],3
['Paracoccaceae'],3
['Acinetobacter radioresistens'],3
['Thermoanaerobacter italicus'],3
['Bacteroides fragilis'],3
['Ancylostoma ceylanicum'],3
['Clitoria ternatea'],3
['Delftia acidovorans'],3
['Streptomyces hygroscopicus subsp. hygroscopicus'],3
['Mycolicibacterium smegmatis'],3
['Brachypodium distachyon'],3
['Chaetomium globosum'],3
['Ambystoma mexicanum'],3
['Thrixopelma pruriens'],3
['Epstein-Barr virus'],3
['Pseudomonas nitroreducens'],3
['Alicyclobacillus acidoterrestris'],3
['Flavobacterium sp.'],3
['Levilactobacillus brevis ATCC 14869 = DSM 20054'],3
['Capsella rubella'],3
['Trichoplax sp. H2'],3
['Escherichia coli O104:H4 str. 2009EL-2071'],3
['Sphingobium indicum'],3
['Enterocloster bolteae 90A9'],3
['Oryza sativa'],3
['Streptomyces viridochromogenes'],3
['Papaver somniferum'],3
['Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50)'],3
['Hevea brasiliensis'],3
['Methylacidiphilum infernorum'],3
['Bat SARS-like coronavirus WIV1'],3
['Streptomyces filamentosus'],3
['Novosphingobium sp. MBES04'],3
['Zika virus'],3
['Neisseria meningitidis 8013'],3
['hepatitis C virus genotype 1a'],3
['Festuca elata'],3
['Thermobifida fusca'],3
['Variovorax paradoxus'],3
['Archaeoglobus fulgidus DSM 8774'],3
['Civet SARS CoV 007/2004'],3
['Acinetobacter sp. NEB 394'],3
['Sulfurisphaera tokodaii'],3
['Beta vulgaris'],3
['Thermus thermophilus HB8'],3
['Choristoneura fumiferana'],3
['Streptomyces seoulensis'],3
"['Mus musculus', 'Enterobacteria phage T4']",3
['Lachnospira eligens'],3
['Rhipicephalus appendiculatus'],3
['Sorangium cellulosum'],3
['Streptococcus mutans serotype c'],3
['Sphaerobacter thermophilus'],3
['Daboia russelii pulchella'],3
['Rippkaea orientalis'],3
['Psychromonas sp.'],2
['Crinalium epipsammum PCC 9333'],2
['Caldibacillus thermoamylovorans'],2
['Priestia sp. P5'],2
['Acetobacter aceti'],2
['Amyelois transitella'],2
['Ochrobactrum sp. T63'],2
['Nesterenkonia sp. 10004'],2
['Trichoderma harzianum'],2
['Gloeocapsa sp. PCC 7513'],2
['Desulfitobacterium hafniense'],2
['Trypanosoma brucei equiperdum'],2
['Salvia officinalis'],2
['Sinapis alba'],2
"['Homo sapiens', 'Human papillomavirus type 18']",2
['Nicotiana sylvestris'],2
['Echovirus E11'],2
['Photobacterium leiognathi'],2
['Nocardiopsis halophila'],2
['Legionella hackeliae'],2
['Phoma'],2
['Thermococcus paralvinellae'],2
['Sinopodophyllum hexandrum'],2
['Echovirus E30'],2
['Aerococcus viridans (strain ATCC 11563 / DSM 20340 / CCUG 4311 / JCM 20461 / NBRC 12219 / NCTC 8251 / M1)'],2
['Echovirus E3'],2
['Carica papaya'],2
['Phanerodontia chrysosporium'],2
['Bacteroides xylanisolvens XB1A'],2
['Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)'],2
['Swine vesicular disease virus'],2
['Nakamurella multipartita'],2
['Aneurinibacillus thermoaerophilus'],2
['Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)'],2
['Canavalia lineata'],2
['Rhodamnia argentea'],2
['Rhyparobia maderae'],2
['Hepacivirus hominis'],2
['Anopheles gambiae str. PEST'],2
['Momordica balsamina'],2
['Pseudomonas syringae pv. tomato'],2
['Arthrobacter globiformis NBRC 12137'],2
['Aspergillus aculeatus'],2
['Escherichia coli DEC6A'],2
['Thermotoga sp.'],2
['Human rhinovirus 1A'],2
['Influenza A virus (A/Victoria/3/1975(H3N2))'],2
['Helicobacter hepaticus'],2
['Cutibacterium acnes'],2
['[Bacillus] caldolyticus'],2
['Escherichia coli BW2952'],2
"['Mus musculus', 'Escherichia coli']",2
['Pseudomonas migulae'],2
['Candida auris'],2
['Fusarium oxysporum'],2
['Escherichia coli DH1'],2
['Streptomyces sp. MK730-62F2'],2
"['Homo sapiens', 'Thermus thermophilus']",2
['Biomphalaria glabrata'],2
['Alloalcanivorax dieselolei'],2
['Streptomyces olivochromogenes'],2
['Spatholobus parviflorus'],2
['Desulfovibrio desulfuricans'],2
['Escherichia phage 186'],2
['Phytophthora cinnamomi'],2
['Megasphaera elsdenii'],2
['Photorhabdus asymbiotica subsp. asymbiotica'],2
['Yersinia pseudotuberculosis serotype O:3'],2
['Streptomyces chartreusis'],2
['Eggerthella lenta'],2
['Aspergillus flavus'],2
['Thermomicrobium roseum'],2
['Acetivibrio cellulolyticus'],2
['Bacillus sonorensis L12'],2
['Streptomyces pyridomyceticus'],2
['Shigella flexneri serotype 5b'],2
['Rothia nasimurium'],2
['Thermoactinomyces vulgaris'],2
['Talaromyces verruculosus'],2
['Schistosoma mansoni'],2
['Indibacter alkaliphilus'],2
['Halorubrum ezzemoulense'],2
['Phytophthora cryptogea'],2
['Selenomonas ruminantium'],2
['Panus similis'],2
['Methanothermobacter marburgensis'],2
['Hypoxylon sp. EC38'],2
['Sarocladium schorii (Acremonium strictum )'],2
['Streptococcus gordonii'],2
['Nemophila menziesii'],2
['Clostridium phage phiSM101'],2
['Dinoroseobacter shibae'],2
"['Streptomyces purpurascens', 'Streptomyces peucetius', 'Streptomyces tsukubensis']",2
['Chrysanthemum morifolium'],2
['Fontimonas thermophila'],2
['Astragalus membranaceus'],2
"['Streptomyces peucetius', 'Streptomyces tsukubensis']",2
['Chlorobaculum parvum'],2
['Gluconobacter oxydans'],2
['Xenopsylla cheopis'],2
['Colwellia psychrerythraea'],2
['Enhygromyxa salina'],2
['Campylobacter concisus'],2
['Coxsackievirus A6'],2
['Erwinia tracheiphila'],2
['Synechocystis sp. CACIAM 05'],2
['Fervidobacterium gondwanense DSM 13020'],2
['Haemophilus influenzae R2866'],2
['Azospirillum sp.'],2
['Pseudogluconobacter saccharoketogenes'],2
['Neisseria meningitidis serogroup A / serotype 4A'],2
['Purpureocillium lilacinum'],2
['Mesorhizobium japonicum'],2
['Alcaligenes sp. AL3007'],2
['Platynereis dumerilii'],2
['Streptococcus pyogenes serotype M28'],2
['Cronobacter turicensis'],2
['Phormia regina'],2
['Taxus brevifolia'],2
['Streptomyces coelicolor A3(2)'],2
['Rotavirus A'],2
['Human enterovirus 71'],2
['Haloferax volcanii'],2
['Bordetella pertussis Tohama I'],2
['Pseudomonas sp. EGD-AKN5'],2
['Periplaneta americana'],2
['Mus'],2
['Encephalitozoon cuniculi'],2
['Norovirus Hu/GII.1/7EK/Hawaii/1971/USA'],2
['Coccomyxa subellipsoidea'],2
['Saccharomonospora viridis'],2
['Bifidobacterium longum subsp. infantis'],2
['Streptomyces spectabilis'],2
['Neotoma lepida'],2
['Echovirus E7'],2
['Limtongozyma cylindracea'],2
['Caldanaerobacter subterraneus subsp. tengcongensis'],2
['Advenella mimigardefordensis'],2
['Micromonospora griseorubida'],2
['Pieris brassicae'],2
['Jannaschia sp.'],2
['Mycobacterium avium'],2
['Echovirus 1'],2
['Streptomyces sp. MJ635-86F5'],2
['Anisodus acutangulus'],2
['Moraxella bovoculi'],2
['Saimiriine herpesvirus 2'],2
"['Homo sapiens', 'Escherichia coli', 'Clostridium pasteurianum']",2
['Vaccinia virus'],2
['Thermoanaerobacterium thermosaccharolyticum'],2
['Rhizomucor miehei'],2
['Rhizobium leguminosarum bv. trifolii'],2
['Burkholderia mallei'],2
['Hepatitis C virus genotype 2a'],2
['Planctopirus limnophila'],2
['Campylobacter lari'],2
['Bothrops pauloensis'],2
['Burkholderia cenocepacia BC7'],2
['Piromyces sp.'],2
['Streptomyces muensis'],2
['Hapalosiphon welwitschii UTEX B 1830'],2
['Ruegeria lacuscaerulensis'],2
['Limnothrix sp. KNUA012'],2
['Human herpesvirus 1'],2
['Reston ebolavirus'],2
['Oscillatoria sp'],2
['Vitis rotundifolia'],2
['Methylobacillus flagellatus'],2
['Listeria monocytogenes'],2
['Aspergillus parasiticus'],2
['Entamoeba histolytica'],2
['Marasmius rotula'],2
['Haemophilus influenzae PittII'],2
['Bubalus bubalis'],2
['Gossypium arboreum'],2
"['Enterobacteria phage T4', 'Staphylococcus aureus']",2
['Exiguobacterium sp.'],2
['Eubacterium ventriosum ATCC 27560'],2
['Anopheles stephensi'],2
['Leptospirillum rubarum'],2
['Oceanobacillus iheyensis'],2
['Nomascus leucogenys'],2
['Strongyloides stercoralis'],2
['Burkholderia ambifaria'],2
['Ruminococcus gnavus'],2
['Synechococcus sp. RS9917'],2
['Agrobacterium radiobacter'],2
['Limnospira maxima'],2
"['Escherichia coli', 'Homo sapiens']",2
['Deinococcus geothermalis'],2
['Archangium violaceum'],2
['Sinorhizobium fredii'],2
['Streptomyces sp. Tu 6176'],2
['Pseudomonas phage phiKZ'],2
['Abies grandis'],2
['Schistosoma japonicum'],2
['Nicotiana plumbaginifolia'],2
['Hirschia baltica'],2
['Piper methysticum'],2
['Necator americanus'],2
['Halorhodospira halochloris str. A'],2
['Zea mays subsp. parviglumis'],2
['Tritrichomonas foetus'],2
['Shewanella denitrificans'],2
['Echis carinatus'],2
['Gerbera hybrida'],2
['Alopecurus myosuroides'],2
['Penicillium janthinellum'],2
['Pseudo-nitzschia multiseries'],2
['Hepatitis C virus subtype 1b'],2
['Poliovirus 2'],1
['Mesobuthus martensii'],1
['Nostoc ellipsosporum'],1
['Iris domestica'],1
['Camelina sativa'],1
['Oceanicola granulosus'],1
['Manduca sexta'],1
['Legionella drancourtii LLAP12'],1
['Deschampsia antarctica'],1
['Plasmodium knowlesi'],1
['Sphingomonas sp. PAMC 26605'],1
"['Saccharomyces cerevisiae', 'Klebsiella pneumoniae']",1
['soil metagenome'],1
['Agrobacterium tumefaciens'],1
['Methanosarcina thermophila'],1
['Heliobacterium modesticaldum'],1
['Paenibacillus larvae subsp. larvae'],1
['Methanothrix soehngenii'],1
['Pseudomonas savastanoi pv. phaseolicola'],1
['Korarchaeum cryptofilum'],1
['Setaria italica'],1
['Taeniopygia guttata'],1
['Aeromonas hydrophila'],1
['Unknown peptide'],1
['Chitinophaga pinensis'],1
['enterovirus D68'],1
['Zygosaccharomyces rouxii'],1
['Mycobacterium tuberculosis KZN 4207'],1
['Brassica oleracea'],1
['Oncorhynchus mykiss'],1
['Monarthropalpus flavus'],1
['Escherichia coli O45:K1'],1
['Streptomyces nodosus'],1
['Senecavirus A'],1
['Sphingomonas sp.'],1
['Streptomyces sp. CNQ431'],1
['Streptomyces galilaeus'],1
['Duganella sp. ZLP-XI'],1
['Paenibacillus sp'],1
['Leishmania infantum'],1
['Megalodesulfovibrio gigas'],1
['Gordonia sp. P8219'],1
['Acinetobacter bereziniae NIPH 3'],1
['uncultured archaeon MedDCM-OCT-S05-C57'],1
['gamma proteobacterium HdN1'],1
['Roseburia intestinalis XB6B4'],1
['Streptomyces sp. SN-593'],1
['Photobacterium sp. J15'],1
['Shewanella sp'],1
['Kitagawia praeruptora'],1
['Rous sarcoma virus subgroup C'],1
['Escherichia coli 2.3916'],1
['Colletotrichum lupini var. setosum'],1
['Borreliella burgdorferi'],1
['Gloeocapsa sp. PCC 7428'],1
['Staphylococcus aureus (strain NCTC 8325 / PS 47)'],1
['Aetokthonos hydrillicola Thurmond2011'],1
['Takifugu rubripes'],1
['Methanoculleus thermophilus'],1
['Methylosinus trichosporium'],1
['Pseudomonas sp. TCU-HL1'],1
['Human papillomavirus 11'],1
['Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)'],1
['Siraitia grosvenorii'],1
['Human adenovirus D serotype 8'],1
['Mycoplasma pneumoniae'],1
['Feline immunodeficiency virus'],1
['Bifidobacterium adolescentis'],1
['Eremococcus coleocola ACS-139-V-Col8'],1
['Thogoto virus (isolate SiAr 126)'],1
['Variovorax sp. RA8'],1
['Flaveria trinervia'],1
['Gamma-proteobacterium EBAC31A08'],1
['Salipaludibacillus agaradhaerens'],1
['Lens culinaris'],1
['Vaccinia virus (strain Ankara)'],1
['Burkholderia cepacia'],1
['Mason-Pfizer monkey virus'],1
['Streptococcus agalactiae serotype V'],1
['Chikungunya virus (strain S27-African prototype)'],1
['Streptomyces arenae'],1
['Ruellia brittoniana'],1
['Caldicellulosiruptor saccharolyticus'],1
['Methanothermus fervidus'],1
['Heloderma suspectum'],1
['De novo designed protein'],1
"['Aequorea victoria', 'Takifugu rubripes']",1
['Enterovirus A71'],1
['Bos indicus'],1
['Moorena producens 3L'],1
['Pseudomonas jessenii'],1
['Mycobacterium tuberculosis C'],1
['Rosa hybrid cultivar'],1
['Streptococcus suis'],1
['Trichomonas vaginalis'],1
['Rhodotorula toruloides'],1
['Dendroaspis polylepis polylepis'],1
['Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044'],1
['Campylobacter jejuni subsp. jejuni PT14'],1
['Brevibacillus parabrevis'],1
['Androctonus australis'],1
['Neisseria gonorrhoeae SK-93-1035'],1
['Pelagibacter sp. (strain HTCC7211)'],1
['Phormidium lapideum'],1
['Plasmodium falciparum (isolate 3D7)'],1
['Trueperella pyogenes'],1
['Dengue virus type 4 (strain Philippines/H241/1956)'],1
['Agkistrodon contortrix laticinctus'],1
['Streptomyces sp. HK803'],1
"['Escherichia coli', 'Aequorea victoria']",1
['Acidilobus saccharovorans'],1
['Japanese encephalitis virus'],1
['Coxsackievirus B1 (strain Japan)'],1
['Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)'],1
['Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)'],1
['Gibberella fujikuroi'],1
['Bordetella parapertussis'],1
"['Pyrococcus abyssi', 'Mus musculus']",1
['Escherichia phage EcSzw-2'],1
['Phyllomedusa sauvagei'],1
['Coxsackievirus A24'],1
['Talaromyces pinophilus'],1
['Brevibacterium sterolicum'],1
['Brucella abortus str. 2308 A'],1
['Tequatrovirus T4'],1
['Petromyzon marinus'],1
['Gentiana triflora'],1
['Eucalyptus grandis'],1
['Human rhinovirus 14'],1
['Sindbis virus'],1
['Escherichia coli 110957'],1
['Escherichia coli BL21'],1
['Human adenovirus C serotype 2'],1
['Echovirus E1'],1
['Ciona intestinalis'],1
['Pecten maximus'],1
['Methanosaeta sp. PtaB.Bin005'],1
['Helicobacter pullorum'],1
['Yunnania penicillata'],1
['Pseudomonas mendocina'],1
['Verminephrobacter eiseniae'],1
['Coxsackievirus A16 (strain Tainan/5079/98)'],1
['Beauveria bassiana'],1
['Mycobacteroides chelonae'],1
['Norwalk-like virus'],1
['Picrophilus torridus'],1
['Pediculus humanus subsp. corporis'],1
['Salmonella phage SPN3US'],1
['Crimean-Congo hemorrhagic fever virus'],1
['Saccharopolyspora spinosa'],1
['Capparis masaikai'],1
['Aspergillus sp'],1
['Locusta migratoria'],1
['Naja naja'],1
['Streptomyces sp. Sp080513GE-23'],1
['Leishmania donovani'],1
['Pseudoalteromonas distincta'],1
['Schizosaccharomyces pombe 972h-'],1
['Pleurotus ostreatus'],1
['Haemophilus influenzae R2846'],1
['Streptomyces rapamycinicus  (Streptomyces hygroscopicus )'],1
['Streptomyces sp. MSC090213JE08'],1
['Bothrops atrox'],1
['Streptococcus sp. group G'],1
['Streptomyces platensis subsp. rosaceus'],1
['Corynebacterium ammoniagenes'],1
['Neisseria polysaccharea'],1
['Drosophila lebanonensis'],1
['Streptomyces longisporoflavus'],1
['Chamberlinius hualienensis'],1
['Physeter macrocephalus'],1
['Hepatitis C virus (isolate 1)'],1
['Paenisporosarcina sp. TG-14'],1
['Streptococcus mutans'],1
"['Streptomyces peucetius', 'Streptomyces sp. ZEA17I']",1
['Stackebrandtia nassauensis'],1
['Sterolibacterium denitrificans'],1
['Corynebacterium sp.'],1
['Zobellia galactanivorans'],1
['Streptomyces griseocarneus'],1
['Echinococcus granulosus'],1
['Manihot esculenta'],1
['Bemisia tabaci'],1
['Elizabethkingia anophelis'],1
['Actinobacillus succinogenes'],1
['Shigella dysenteriae'],1
['Aggregatibacter actinomycetemcomitans'],1
['Uncultured bacterium HF130_AEPn_1'],1
['Humicola insolens'],1
['Nostoc flagelliforme CCNUN1'],1
['Fischerella sp. SAG 46.79'],1
['Thermoclostridium stercorarium'],1
['Streptomyces violaceoruber'],1
['Gloeobacter kilaueensis JS1'],1
['Glycyrrhiza uralensis'],1
['Acinetobacter baumannii WM99c'],1
['Acinetobacter baumannii NIPH 410'],1
['Fusarium sporotrichioides'],1
['Odinarchaeota yellowstonii'],1
['Anemonia sulcata'],1
['Serratia sp.'],1
['Vibrio nigripulchritudo'],1
['Streptococcus agalactiae'],1
['Coelastrella astaxanthina'],1
['Camponotus japonicus'],1
['Plectranthus scutellarioides'],1
['Brevibacterium fuscum'],1
['Desulfohalobium retbaense'],1
['Pinus sylvestris'],1
['Streptomyces glaucescens'],1
['Leiurus hebraeus'],1
['Streptomyces fradiae'],1
['Selaginella moellendorffii'],1
['Moorena bouillonii PNG'],1
['Stutzerimonas stutzeri'],1
['Bovine coronavirus'],1
['Chelativorans sp.'],1
['Paenibacillus sp.'],1
['Bacillus methanolicus'],1
['Pholiota squarrosa'],1
['Macrophoma commelinae'],1
['Streptomyces rochei'],1
['Burkholderia glumae'],1
['Helicoverpa armigera'],1
['Parthenium argentatum'],1
['Thermanaerovibrio acidaminovorans'],1
['Lophonetta specularioides'],1
['Bacillus sp. SG-1'],1
['Aegle marmelos'],1
['Streptococcus suis 05ZYH33'],1
"['Pseudomonas putida', 'Spinacia oleracea']",1
['Lacticaseibacillus rhamnosus Lc 705'],1
['Coturnix japonica'],1
['Salvia miltiorrhiza'],1
['Bat coronavirus HKU4'],1
['Rhodothermus marinus'],1
['Candida albicans SC5314'],1
['Artabotrys hexapetalus'],1
['Thermococcus thioreducens'],1
"['Shewanella oneidensis', 'Shewanella benthica']",1
['Ruminiclostridium cellulolyticum'],1
